Job Title,Job Function,Job Level
Senior Marketing Manager National Promotions,"Management,Marketing",Manager
Senior Brand Manager Pepsi,Management,Manager
Senior Marketing Manager New Products,"Management,Marketing,Products",Manager
Marketing Manager Sports,"Management,Marketing",Manager
Senior Manager Corporate Sponsorships,Management,Manager
Chief Executive Officer,Management,Executive
President,Management,Executive
Vice President- Business Development,"Management,Business",Executive
Vice President of Business Development,"Management,Business",Executive
Advisor and Interim Head of Marketing,Marketing,Consultant
Executive in residence,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Executive Officer,Management,Executive
Chief Experience Officer Senior Vice President Physician Engagement,Management,Executive
Chief Digital Officer,Management,Executive
CMO and Chief Digital Officer,Management,Executive
Senior Director Talent and Organizational Development,HR,Manager
Vice President Digital Publishing,Management,Executive
Group Chief Executive Officer,Management,Executive
Vice President of Production and Operations Games,"Management,Operations,Products",Executive
Assistant General Counsel,Other,Other
Principal,Other,Consultant
Principal,Other,Consultant
Senior Vice President of Engineering,"Management,Engineering",Executive
Visiting Scientist,Research and Technology,Other
Product Initiatives Expedia Affiliate Network,Products,Other
Market Intelligence EAN,Marketing,Other
Digital Media and Commercial Transactions Attorney,Other,Other
Senior Managing Director,Management,Manager
Managing Director,Management,Manager
Founder Chief Executive Officer,Management,Executive
Senior Vice President and General Manager of Games,Management,Executive
Board Member,Other,Other
Chief Operating Officer,"Management,Operations",Executive
Vice President of Online Marketing,"Management,Marketing",Executive
Vice President Marketing and Product,"Management,Marketing,Products",Executive
Vice President Product Management,"Management,Products",Executive
Chief Operating Officer,"Management,Operations",Executive
Board Member,Other,Other
Board Member,Other,Other
Chief Operating Officer,"Management,Operations",Executive
Senior Vice President Business Development and Operations,"Management,Business,Operations",Executive
Chief Financial Officer,"Management,Finances",Executive
Managing Member,Management,Other
Senior Vice President Engineering Technology,"Management,Engineering",Executive
Partner,Management,Executive
President and Chief Operating Officer,"Management,Operations",Executive
Board Director,Other,Manager
Chairman,Other,Other
Vice President of Content and Programming,Management,Executive
Content Strategist; Brand Manager,"Management,Strategy",Manager
Vice President Content Strategy,"Management,Strategy",Executive
Vice President Content and Programming,Management,Executive
Director Web and Video Production,Products,Manager
Post-Production Supervisor,Products,Other
Board Member,Other,Other
Vice President Service Provider Marketing,"Management,Services,Marketing",Executive
Instructor,Other,Other
Chief Technology Officer,Management,Executive
Chief Technology Officer,Management,Executive
Chief Technology Officer,Management,Executive
Chief Technology Officer,Management,Executive
Vice President of Product,"Management,Products",Executive
Vice President of Product Management,"Management,Products",Executive
Operating Partner,"Management,Operations",Executive
Adjunct Professor of Business and Entrepreneurship,"Business,Entrepreneur,Education",Professor
Consulting Partner,"Consultant Services,Management",Executive
Board Member,Other,Other
Managing Director and Founder,Management,Manager
Managing Director,Management,Manager
Executive,Management,Executive
Founder and Managing Director,Management,Manager
Advisor Comcast Strategic Development | Comcast/NBCUniversal,Strategy,Consultant
Advisor Online Video | Conde Nast Entertainment,Other,Consultant
Corporate Vice President Time Warner Mergers and Acquisitions Group,Management,Executive
Vice President of Business Operations Finance and User Acquisition,"Management,Business,Operations,Finances",Executive
Senior Account Executive Communications Content and Entertainment,Management,Executive
Director Corporate Development,Other,Manager
Product Executive,"Management,Products",Executive
Product Manager Education Programs and Outcomes,"Management,Products",Manager
President and Chief Executive Officer,Management,Executive
Head of Product Management,"Management,Products",Other
Technical Product Program Manager,"Management,Products",Manager
Software Development Engineer,"Engineering,IT",Associate
Vice President Product,"Management,Products",Executive
Product Management Instructor,"Management,Products",Other
Vice President of Product,"Management,Products",Executive
Senior Director Product Management,"Management,Products",Manager
General Manager Digital Product and Engineering,"Management,Engineering,Products",Associate
General Manager and Head of Global Quality,Management,Manager
Chief Operating Officer,"Management,Operations",Executive
Founding Investor and Advisor,Management,Consultant
Vice President Group Account Supervisor,Management,Executive
Contracts and Negotiations Executive,Management,Executive
Chief Marketing Officer IDG Communications,"Management,Marketing",Executive
Chief Marketing Officer,"Management,Marketing",Executive
Senior Vice President Partner Development,Management,Executive
General Partner,Management,Executive
Executive Vice President Sales and Strategy,"Management,Sales,Strategy",Executive
Senior Vice President Head of Marketing,"Management,Marketing",Executive
Vice President Client Services,"Management,Services",Executive
Consumer Marketing,Marketing,Other
Managing Editor,Management,Other
Managing Editor,Management,Other
Vice President Sales,"Management,Sales",Executive
Vice President Sales,"Management,Sales",Executive
General Partner,Management,Executive
Partner/ Chief Operating Officer,"Management,Operations",Executive
Chief Operating Officer,"Management,Operations",Executive
Chief Executive Officer,Management,Executive
Chief Operating Officer,"Management,Operations",Executive
Executive Vice President,Management,Executive
Startup Advisor,Other,Consultant
Vice President of Client Service Managing Director,"Management,Services",Executive
Program Manager,Management,Manager
Chief Executive Officer and President,Management,Executive
co-CEO and President,Management,Executive
Chief Executive Officer and President,Management,Executive
DVP of PR and Events,Other,Other
Vice President of Public Relations and Special Events,Management,Executive
Head of Global Influencer Partnerships,Management,Executive
President Digital News and Sports Group,Management,Executive
Vice President Business Development,"Management,Business",Executive
Chief Revenue Officer,Management,Executive
Head of Talent and Live Content,HR,Other
Chief Talent Officer Head of Live Content AwesomenessTV,"Management,HR",Executive
